temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,shortwave_radiation_backwards_sfc,angle_of_incidence,zenith,azimuth,power_output
275.32,31,1035,0,0,0,58.753108,83.237322,128.33543,454.10095
275.46,27,1035.1,0,0,1.78,45.408585,75.143041,139.6553,1411.9994
276.8,33,1035.4,0,0,108.58,32.848282,68.820648,152.53769,2214.8493
278.97,30,1035.4,0,0,258.1,22.699288,64.883536,166.90159,2527.6092
280.88,27,1034.4,0,0,375.58,19.199908,63.795208,182.13526,2640.2034
281.84,29,1034.6,0,0,449.45,25.088167,65.70086,197.22062,2546.0816
282.87,27,1034,0,0,469.92,36.197514,70.351498,211.21422,2270.3207
283.22,28,1034.1,0,0,436.99,49.073008,77.228779,223.65641,1063.8302
282.53,32,1033.9,0,0,353.33,62.37114,85.585411,234.50308,86.817611
279.69,47,1035.1,0,0,228.73,105.86656,121.46318,216.06756,9.6666667
275.33,24,1038.5,0,0,0,58.845824,83.242237,128.19736,513.90842
275.56,25,1038.4,0,0,2.67,45.485379,75.128751,139.51405,1076.7197
277.36,33,1039.3,0,0,113.92,32.896851,68.783811,152.39916,1018.7148
280.05,36,1039,0,0,255.43,22.691118,64.819803,166.76722,2307.0852
282.44,30,1037.6,0,0,380.03,19.107739,63.706944,182.12489,2261.3353
285.01,26,1036.5,0,0,400.5,24.953054,65.591365,197.12913,1706.41
285.62,26,1036.5,0,0,415.63,36.063181,70.227766,211.15002,1385.8102
285.14,30,1036.7,0,0,387.15,48.947246,77.097036,223.61621,547.77553
284.47,33,1036.5,0,0,333.75,62.1479,85.381751,234.39741,61.566961
276.92,35,1039.1,0,0,0,58.9765,83.267328,128.02444,419.20845
277.16,36,1039.6,0,0,2.67,45.55898,75.107523,139.36964,1371.9036
279.81,34,1039.7,0,0,111.25,32.941458,68.737737,152.25258,2154.5695
282.44,40,1038.3,0,0,256.32,22.67679,64.748514,166.63244,2456.0311
285.41,33,1037.5,0,0,369.35,19.004469,63.610054,181.90286,2536.1985
286.92,30,1036.6,0,0,441.44,24.813234,65.474867,197.04081,2462.3889
287.58,30,1036.6,0,0,461.02,35.926593,70.097733,211.09034,2202.6894
287.73,30,1036.4,0,0,430.76,48.820772,76.959788,223.58144,1046.8986
287.19,32,1036.6,0,0,352.44,62.14581,85.32007,234.4662,88.940216
277.4,30,1038.8,0,0,0,59.024684,83.232999,127.90935,418.46229
277.43,31,1038.6,0,0,1.78,45.734575,75.136798,139.12312,1300.4193
278.91,35,1038.4,0,0,104.13,32.981515,68.685423,152.10722,2143.0744
281.62,40,1037.1,0,0,250.09,22.656758,64.669873,166.49739,2436.7275
284.49,33,1035.3,0,0,366.68,18.896941,63.506526,181.78886,2534.3489
285.4,29,1034.3,0,0,435.21,24.669091,65.351595,196.95568,2477.8934
285.75,30,1033.5,0,0,455.68,35.787961,69.961609,211.03516,2206.8945
285.81,31,1033.5,0,0,425.42,48.693732,76.817213,223.55205,1040.8729
285.55,33,1032.7,0,0,345.32,62.033585,85.180199,234.45672,93.423875
275.07,73,1034.2,0,0,0,59.11072,83.218833,127.75963,425.30454
274.66,80,1035.2,0,0,1.78,45.676492,75.034084,139.09168,1355.1012
277.53,76,1034.8,0,0,106.8,33.017211,68.62586,151.96007,2122.2185
280.95,67,1032.8,0,0,255.43,22.630859,64.583818,166.3621,2430.8578
283.22,58,1031.7,0,0,372.91,18.782814,63.395723,181.67644,2549.7753
285.8,38,1028,0,0,440.55,24.520556,65.22152,196.87383,2505.5434
286.43,39,1027.2,0,0,462.8,35.647353,69.819392,210.98459,2236.1667
286.51,42,1027.2,0,0,431.65,48.566224,76.669341,223.52814,1079.7043
285.83,49,1027.5,0,0,350.66,61.921788,85.035625,234.45328,97.017519
273.77,45,1031.7,0,0,0,59.194427,83.19827,127.6062,445.47816
273.97,44,1031.9,0,0,1.78,45.760553,75.002668,138.9187,1411.1547
276.47,45,1032.3,0,0,113.92,33.020593,68.547439,151.84501,2212.9796
280.21,47,1030.9,0,0,264.33,22.599143,64.49038,166.22665,2522.2383
282.51,34,1029.1,0,0,378.25,18.662127,63.277688,181.56566,2625.5014
282.01,41,1026.8,0,0,447.67,24.367718,65.0847,196.79534,2577.2011
282.38,42,1027.1,0,0,469.03,35.504891,69.671158,210.93869,2283.7003
